batter,name,primary_slot,games_started,slot_share,g_slot1,g_slot2,g_slot3,g_slot4,g_slot5,g_slot6,g_slot7,g_slot8,g_slot9
595978,Austin Hedges,8,36,0.8888888888888888,0,0,0,0,0,0,0,32,4
676439,Hunter Feduccia,8,36,0.6666666666666666,0,0,0,0,0,0,1,24,11
673237,Yainer Diaz,6,35,0.42857142857142855,0,0,0,0,1,15,8,10,1
596142,Gary Sánchez,4,35,0.4857142857142857,0,0,2,17,10,6,0,0,0
643396,Isiah Kiner-Falefa,9,35,0.4,0,0,0,0,2,2,12,5,14
641680,Jonah Heim,5,34,0.2647058823529412,0,0,0,4,9,6,3,9,3
676694,Jake Meyers,7,34,0.38235294117647056,0,0,0,0,4,4,13,9,4
676356,Jonny Deluca,6,34,0.35294117647058826,0,3,1,0,10,12,6,2,0
686611,Dylan Crews,5,34,0.6176470588235294,0,1,2,3,21,5,2,0,0
668723,Ryan Vilade,4,34,0.5,0,6,2,17,5,3,1,0,0
680777,Ryan Jeffers,4,34,0.47058823529411764,0,0,11,16,5,2,0,0,0
683734,Andrew Vaughn,6,33,0.3333333333333333,0,2,1,10,9,11,0,0,0
683011,Anthony Volpe,8,33,0.36363636363636365,0,0,0,0,3,5,8,12,5
694362,Blake Dunn,1,33,0.696969696969697,23,0,0,0,0,3,6,1,0
670242,Matt Wallner,7,33,0.3939393939393939,0,0,0,8,5,1,13,6,0
687637,Dylan Beavers,6,32,0.28125,0,0,7,2,7,9,5,2,0
807713,Matt Shaw,7,32,0.3125,0,2,0,0,1,2,10,9,8
621043,Carlos Correa,1,32,0.4375,14,0,3,10,4,1,0,0,0
622761,Jorge Mateo,9,32,0.53125,0,0,0,0,0,0,6,9,17
681807,David Fry,5,32,0.34375,1,2,1,8,11,9,0,0,0
660162,Yoán Moncada,5,32,0.65625,0,0,4,0,21,3,3,1,0
664702,Myles Straw,7,32,0.375,3,2,0,0,0,0,12,10,5
676724,Jared Young,4,31,0.6451612903225806,0,0,2,20,7,2,0,0,0
630105,Jake Cronenworth,9,31,0.6129032258064516,5,0,0,0,0,1,1,5,19
814439,Ryan Waldschmidt,9,31,0.5161290322580645,0,1,0,0,5,7,1,1,16
660844,Leo Rivas,9,31,0.9032258064516129,0,0,0,0,0,0,0,3,28
592206,Nick Castellanos,7,31,0.6129032258064516,0,0,0,0,2,3,19,7,0
682663,Agustín Ramírez,3,30,0.4,1,8,12,0,3,6,0,0,0
