batter,name,team,pa,avg,obp,p_1b,p_2b,p_3b,p_hr,p_bb,p_k,p_dp,p_out,p_sf,p_sh,sb_rate,cs_rate
668715,Spencer Steer,Cincinnati,320,0.236,0.313,0.13125,0.0375,0.0,0.040625,0.10625000000000007,0.234375,0.025,0.41875,0.00625,0.0,0.04,0.0
680757,Steven Kwan,Cleveland,320,0.214,0.32,0.146875,0.028125,0.003125,0.003125,0.13749999999999996,0.103125,0.021875,0.540625,0.00625,0.009375,0.03333333333333333,0.011111111111111112
677587,Brayan Rocchio,Cleveland,319,0.27,0.341,0.1755485893416928,0.04075235109717868,0.006269592476489028,0.01567398119122257,0.10031347962382442,0.13479623824451412,0.012539184952978056,0.49843260188087773,0.009404388714733543,0.006269592476489028,0.1590909090909091,0.045454545454545456
543760,Marcus Semien,New York,318,0.214,0.271,0.13836477987421383,0.025157232704402517,0.0031446540880503146,0.02830188679245283,0.07547169811320753,0.2138364779874214,0.031446540880503145,0.4716981132075472,0.009433962264150943,0.0031446540880503146,0.08823529411764706,0.029411764705882353
608070,José Ramírez,Cleveland,314,0.239,0.339,0.11464968152866242,0.05732484076433121,0.0,0.03184713375796178,0.13694267515923564,0.14012738853503184,0.0031847133757961785,0.5063694267515924,0.009554140127388535,0.0,0.3076923076923077,0.02564102564102564
808982,Jung Hoo Lee,San Francisco,314,0.319,0.35,0.21337579617834396,0.06050955414012739,0.009554140127388535,0.01592356687898089,0.05095541401273895,0.09235668789808917,0.01592356687898089,0.5318471337579618,0.009554140127388535,0.0,0.07228915662650602,0.0
691026,Masyn Winn,St. Louis,314,0.242,0.315,0.1624203821656051,0.03503184713375796,0.006369426751592357,0.009554140127388535,0.10191082802547768,0.1910828025477707,0.022292993630573247,0.4554140127388535,0.01592356687898089,0.0,0.08433734939759036,0.024096385542168676
681082,Bryson Stott,Philadelphia,311,0.244,0.304,0.1414790996784566,0.04823151125401929,0.00964630225080386,0.022508038585209004,0.08038585209003213,0.17041800643086816,0.022508038585209004,0.49517684887459806,0.003215434083601286,0.006430868167202572,0.2318840579710145,0.0
571448,Nolan Arenado,Arizona,310,0.243,0.316,0.13870967741935483,0.04838709677419355,0.0,0.02903225806451613,0.10000000000000009,0.2064516129032258,0.01935483870967742,0.4483870967741935,0.00967741935483871,0.0,0.04054054054054054,0.0
695600,Carter Jensen,Kansas City,308,0.247,0.312,0.1266233766233766,0.05519480519480519,0.0,0.03896103896103896,0.09090909090909094,0.2694805194805195,0.00974025974025974,0.39285714285714285,0.016233766233766232,0.0,0.014925373134328358,0.0
673548,Seiya Suzuki,Chicago,305,0.274,0.357,0.15737704918032788,0.03934426229508197,0.0,0.04262295081967213,0.11803278688524588,0.25901639344262295,0.022950819672131147,0.35081967213114756,0.009836065573770493,0.0,0.0,0.0
695506,Jac Caglianone,Kansas City,305,0.264,0.334,0.14754098360655737,0.03934426229508197,0.006557377049180328,0.04590163934426229,0.0950819672131149,0.2983606557377049,0.013114754098360656,0.3540983606557377,0.0,0.0,0.04054054054054054,0.013513513513513514
678662,Ezequiel Tovar,Colorado,305,0.205,0.249,0.1180327868852459,0.05245901639344262,0.0,0.019672131147540985,0.059016393442622994,0.2754098360655738,0.01639344262295082,0.4459016393442623,0.013114754098360656,0.0,0.09259259259259259,0.0
